REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2021/08/01 00:30:00,4897.23,80.92,TRADE
VIC1,2021/08/01 01:00:00,4705.81,107.83,TRADE
VIC1,2021/08/01 01:30:00,4538.53,104.64,TRADE
VIC1,2021/08/01 02:00:00,4350.44,52.14,TRADE
VIC1,2021/08/01 02:30:00,4170.25,37.81,TRADE
VIC1,2021/08/01 03:00:00,4073.41,36.22,TRADE
VIC1,2021/08/01 03:30:00,3961.8,21.50,TRADE
VIC1,2021/08/01 04:00:00,3941.72,9.39,TRADE
VIC1,2021/08/01 04:30:00,3879.34,10.80,TRADE
VIC1,2021/08/01 05:00:00,3897.16,29.59,TRADE
VIC1,2021/08/01 05:30:00,3942.25,26.68,TRADE
VIC1,2021/08/01 06:00:00,4024.65,37.61,TRADE
VIC1,2021/08/01 06:30:00,4106.58,39.93,TRADE
VIC1,2021/08/01 07:00:00,4258.86,63.70,TRADE
VIC1,2021/08/01 07:30:00,4388.35,61.40,TRADE
VIC1,2021/08/01 08:00:00,4597.79,44.69,TRADE
VIC1,2021/08/01 08:30:00,4762.36,64.06,TRADE
VIC1,2021/08/01 09:00:00,4728.55,46.09,TRADE
VIC1,2021/08/01 09:30:00,4565.64,46.63,TRADE
VIC1,2021/08/01 10:00:00,4374.69,27.44,TRADE
VIC1,2021/08/01 10:30:00,4137.82,34.36,TRADE
VIC1,2021/08/01 11:00:00,3867.42,8.91,TRADE
VIC1,2021/08/01 11:30:00,3647.58,-24.68,TRADE
VIC1,2021/08/01 12:00:00,3527.03,-18.51,TRADE
VIC1,2021/08/01 12:30:00,3518.24,-26.69,TRADE
VIC1,2021/08/01 13:00:00,3420.21,-35.90,TRADE
VIC1,2021/08/01 13:30:00,3454.22,-10.95,TRADE
VIC1,2021/08/01 14:00:00,3494.87,-16.93,TRADE
VIC1,2021/08/01 14:30:00,3618.57,-5.18,TRADE
VIC1,2021/08/01 15:00:00,3779.46,1.98,TRADE
VIC1,2021/08/01 15:30:00,3974.16,-16.53,TRADE
VIC1,2021/08/01 16:00:00,4299.77,-4.06,TRADE
VIC1,2021/08/01 16:30:00,4733.15,53.99,TRADE
VIC1,2021/08/01 17:00:00,5198.27,64.79,TRADE
VIC1,2021/08/01 17:30:00,5737.18,115.88,TRADE
VIC1,2021/08/01 18:00:00,6219.47,280.80,TRADE
VIC1,2021/08/01 18:30:00,6526.06,269.71,TRADE
VIC1,2021/08/01 19:00:00,6486.59,218.20,TRADE
VIC1,2021/08/01 19:30:00,6374.46,218.15,TRADE
VIC1,2021/08/01 20:00:00,6245.71,136.04,TRADE
VIC1,2021/08/01 20:30:00,6115.84,122.17,TRADE
VIC1,2021/08/01 21:00:00,5945.47,92.67,TRADE
VIC1,2021/08/01 21:30:00,5768.26,116.92,TRADE
VIC1,2021/08/01 22:00:00,5562.21,97.18,TRADE
VIC1,2021/08/01 22:30:00,5348.45,109.81,TRADE
VIC1,2021/08/01 23:00:00,5168.5,94.43,TRADE
VIC1,2021/08/01 23:30:00,5223.98,97.93,TRADE
VIC1,2021/08/02 00:00:00,5147.52,83.72,TRADE
VIC1,2021/08/02 00:30:00,4944.52,67.17,TRADE
VIC1,2021/08/02 01:00:00,4732.65,58.21,TRADE
VIC1,2021/08/02 01:30:00,4598.84,43.54,TRADE
VIC1,2021/08/02 02:00:00,4456.52,30.81,TRADE
VIC1,2021/08/02 02:30:00,4316.32,11.24,TRADE
VIC1,2021/08/02 03:00:00,4197.81,8.99,TRADE
VIC1,2021/08/02 03:30:00,4104.46,8.95,TRADE
VIC1,2021/08/02 04:00:00,4044.48,5.67,TRADE
VIC1,2021/08/02 04:30:00,4082.66,2.54,TRADE
VIC1,2021/08/02 05:00:00,3876.35,-10.76,TRADE
VIC1,2021/08/02 05:30:00,4130.96,6.23,TRADE
VIC1,2021/08/02 06:00:00,4570.84,6.13,TRADE
VIC1,2021/08/02 06:30:00,5058.61,-2.46,TRADE
VIC1,2021/08/02 07:00:00,5587.76,28.12,TRADE
VIC1,2021/08/02 07:30:00,6123.93,76.70,TRADE
VIC1,2021/08/02 08:00:00,6498.33,78.42,TRADE
VIC1,2021/08/02 08:30:00,6599.07,41.55,TRADE
VIC1,2021/08/02 09:00:00,6344.2,9.10,TRADE
VIC1,2021/08/02 09:30:00,6068.56,-22.04,TRADE
VIC1,2021/08/02 10:00:00,5720.41,-28.98,TRADE
VIC1,2021/08/02 10:30:00,5340.83,-27.65,TRADE
VIC1,2021/08/02 11:00:00,5030.82,-21.08,TRADE
VIC1,2021/08/02 11:30:00,4793.65,-26.69,TRADE
VIC1,2021/08/02 12:00:00,4592.12,-29.57,TRADE
VIC1,2021/08/02 12:30:00,4464.83,-28.51,TRADE
VIC1,2021/08/02 13:00:00,4382.02,-29.85,TRADE
VIC1,2021/08/02 13:30:00,4432.88,-31.02,TRADE
VIC1,2021/08/02 14:00:00,4461.82,-34.06,TRADE
VIC1,2021/08/02 14:30:00,4451.53,-28.98,TRADE
VIC1,2021/08/02 15:00:00,4447.59,-20.33,TRADE
VIC1,2021/08/02 15:30:00,4611.02,-30.73,TRADE
VIC1,2021/08/02 16:00:00,4852.6,-25.08,TRADE
VIC1,2021/08/02 16:30:00,5260.23,33.97,TRADE
VIC1,2021/08/02 17:00:00,5698.12,28.13,TRADE
VIC1,2021/08/02 17:30:00,6198.91,67.29,TRADE
VIC1,2021/08/02 18:00:00,6636.64,119.84,TRADE
VIC1,2021/08/02 18:30:00,6914.27,110.31,TRADE
VIC1,2021/08/02 19:00:00,6844.66,81.74,TRADE
VIC1,2021/08/02 19:30:00,6675.07,70.10,TRADE
VIC1,2021/08/02 20:00:00,6514.67,75.45,TRADE
VIC1,2021/08/02 20:30:00,6357.96,70,TRADE
VIC1,2021/08/02 21:00:00,6187.8,63.43,TRADE
VIC1,2021/08/02 21:30:00,6001.41,63.85,TRADE
